freq,Vin,Vout,dt
100, 206e-3, 206e-3, 0
200, 206e-3, 206e-3, 0
500, 206e-3, 208e-3, 0
800, 204e-3, 206e-3, 0
1e3, 206e-3, 206e-3, 0
2e3, 210e-3, 212e-3, 0
5e3, 210e-3, 210e-3, 2e-6
8e3, 212e-3, 212e-3, 1e-6
10e3, 210e-3, 212e-3, 1e-6
20e3, 210e-3, 214e-3, 1e-6
50e3, 210e-3, 212e-3, 300e-9
80e3, 210e-3, 214e-3, 300e-9
100e3, 210e-3, 218e-3, 160e-9
200e3, 208e-3, 232e-3, 120e-9
300e3, 206e-3, 264e-3, 120e-9
500e3, 180e-3, 418e-3, 220e-9
550e3, 166e-3, 464e-3, 280e-9
600e3, 152e-3, 472e-3, 360e-9
700e3, 168e-3, 358e-3, 520e-9
800e3, 188e-3, 236e-3, 520e-9
1e6, 204e-3, 118e-3, 480e-9
2e6, 208e-3, 20.8e-3, 252e-9
5e6, 208e-3, 1.5e-3, 116e-9